dimension,AGE_AT_VISIT_r,AGE_AT_VISIT_r2,AGE_AT_VISIT_p,AGE_AT_VISIT_sig,UPDRS3_TOTAL_r,UPDRS3_TOTAL_r2,UPDRS3_TOTAL_p,UPDRS3_TOTAL_sig,MOCA_TOTAL_r,MOCA_TOTAL_r2,MOCA_TOTAL_p,MOCA_TOTAL_sig,NP3_PC2_r,NP3_PC2_r2,NP3_PC2_p,NP3_PC2_sig,Sex_eta2,Sex_p,Sex_sig,HANDED_eta2,HANDED_p,HANDED_sig,HOEHN_YAHR_eta2,HOEHN_YAHR_p,HOEHN_YAHR_sig
latent_205,-0.0606,0.0037,0.00076,False,-0.0801,0.0064,6.2e-05,True,-0.0177,0.0003,0.342187,False,-0.0263,0.0007,0.279863,False,0.0022,0.008795,False,0.0026,0.018207,False,0.0055,0.001645,False
latent_206,0.0716,0.0051,7e-05,True,0.158,0.0249,0.0,True,-0.0315,0.001,0.090571,False,0.0007,0.0,0.978588,False,0.0009,0.104981,False,0.0026,0.018399,False,0.0174,0.0,True
latent_208,-0.0018,0.0,0.920375,False,0.0953,0.0091,2e-06,True,-0.029,0.0008,0.119641,False,0.0309,0.001,0.204526,False,0.0025,0.005792,False,0.0002,0.783969,False,0.0153,0.0,True
latent_214,-0.1442,0.0208,0.0,True,0.096,0.0092,2e-06,True,0.0508,0.0026,0.006374,False,0.051,0.0026,0.03603,False,0.002,0.012992,False,0.0024,0.023258,False,0.0108,1e-06,True
latent_216,-0.0349,0.0012,0.052946,False,0.0481,0.0023,0.016171,False,0.0168,0.0003,0.366242,False,-0.028,0.0008,0.249254,False,0.0086,0.0,True,0.0014,0.110589,False,0.004,0.014296,False
latent_218,0.0381,0.0015,0.034388,False,-0.0405,0.0016,0.042847,False,-0.0266,0.0007,0.15277,False,0.0072,0.0001,0.765826,False,0.0008,0.105888,False,0.0002,0.690824,False,0.0057,0.001374,False
latent_222,0.2182,0.0476,0.0,True,0.0727,0.0053,0.000274,True,-0.0782,0.0061,2.6e-05,True,0.019,0.0004,0.435837,False,0.008,1e-06,True,0.0017,0.076274,False,0.0025,0.104992,False
latent_225,0.0319,0.001,0.076522,False,0.2429,0.059,0.0,True,-0.0607,0.0037,0.0011,False,-0.125,0.0156,0.0,True,0.0078,1e-06,True,0.0019,0.050437,False,0.0836,0.0,True
latent_227,0.114,0.013,0.0,True,0.1924,0.037,0.0,True,-0.0665,0.0044,0.000348,True,0.037,0.0014,0.128572,False,0.0002,0.479154,False,0.0009,0.233467,False,0.0541,0.0,True
latent_228,-0.059,0.0035,0.00106,False,0.0438,0.0019,0.028471,False,-0.0045,0.0,0.809888,False,0.014,0.0002,0.564788,False,0.0022,0.009036,False,0.0014,0.116789,False,0.0072,0.000179,True
latent_229,0.02,0.0004,0.266724,False,-0.0053,0.0,0.790818,False,-0.0399,0.0016,0.032075,False,-0.058,0.0034,0.017057,False,0.0048,0.000109,True,0.0001,0.911669,False,0.0025,0.095597,False
latent_232,-0.0065,0.0,0.720132,False,0.0985,0.0097,1e-06,True,-0.0305,0.0009,0.101148,False,0.0046,0.0,0.849581,False,0.0005,0.233291,False,0.0005,0.451218,False,0.0068,0.000427,True
latent_234,0.0274,0.0007,0.128725,False,-0.0593,0.0035,0.003007,False,-0.0313,0.001,0.09248,False,0.011,0.0001,0.652209,False,0.0002,0.402216,False,0.0018,0.058152,False,0.0127,0.0,True
latent_235,0.1657,0.0274,0.0,True,0.0799,0.0064,6.3e-05,True,-0.1126,0.0127,0.0,True,0.0515,0.0027,0.034259,False,0.0337,0.0,True,0.0,0.997228,False,0.009,8e-06,True
latent_237,0.0454,0.0021,0.011775,False,-0.0477,0.0023,0.017119,False,-0.0118,0.0001,0.528055,False,-0.0085,0.0001,0.727568,False,0.0018,0.018889,False,0.0006,0.427775,False,0.0027,0.076656,False
latent_238,-0.0675,0.0046,0.000179,True,-0.0399,0.0016,0.046312,False,0.0244,0.0006,0.189935,False,0.0578,0.0033,0.017523,False,0.0002,0.469167,False,0.0008,0.280742,False,0.005,0.003106,False
latent_241,0.1206,0.0145,0.0,True,-0.0502,0.0025,0.012097,False,-0.0292,0.0009,0.116948,False,0.0601,0.0036,0.013515,False,0.0191,0.0,True,0.0017,0.074607,False,0.0055,0.001759,False
latent_245,-0.0431,0.0019,0.016666,False,-0.0254,0.0006,0.20458,False,0.0494,0.0024,0.007894,False,-0.0324,0.0011,0.182871,False,0.0016,0.024334,False,0.0001,0.797162,False,0.001,0.595933,False
latent_250,0.0989,0.0098,0.0,True,-0.0011,0.0,0.955635,False,-0.0954,0.0091,0.0,True,0.0296,0.0009,0.223087,False,0.0014,0.036958,False,0.0004,0.529201,False,0.0057,0.001257,False
latent_251,0.0522,0.0027,0.003766,False,-0.0305,0.0009,0.127699,False,-0.0022,0.0,0.904989,False,-0.0164,0.0003,0.499984,False,0.0047,0.000129,True,0.0001,0.869507,False,0.0044,0.008962,False
latent_253,0.1315,0.0173,0.0,True,0.1418,0.0201,0.0,True,-0.0645,0.0042,0.000531,False,0.0138,0.0002,0.569621,False,0.0081,1e-06,True,0.0004,0.557796,False,0.0228,0.0,True
latent_254,-0.0821,0.0067,5e-06,True,0.0003,0.0,0.986208,False,0.0582,0.0034,0.001758,False,-0.0169,0.0003,0.486644,False,0.0,0.864373,False,0.0001,0.884958,False,0.0009,0.629606,False
