dimension,AGE_AT_VISIT_r,AGE_AT_VISIT_r2,AGE_AT_VISIT_p,AGE_AT_VISIT_sig,UPDRS3_TOTAL_r,UPDRS3_TOTAL_r2,UPDRS3_TOTAL_p,UPDRS3_TOTAL_sig,MOCA_TOTAL_r,MOCA_TOTAL_r2,MOCA_TOTAL_p,MOCA_TOTAL_sig,NP3_PC2_r,NP3_PC2_r2,NP3_PC2_p,NP3_PC2_sig,BradyRig_Total_r,BradyRig_Total_r2,BradyRig_Total_p,BradyRig_Total_sig,Tremor_Total_r,Tremor_Total_r2,Tremor_Total_p,Tremor_Total_sig,AI_BradyRig_Diff_r,AI_BradyRig_Diff_r2,AI_BradyRig_Diff_p,AI_BradyRig_Diff_sig,AI_Tremor_Diff_r,AI_Tremor_Diff_r2,AI_Tremor_Diff_p,AI_Tremor_Diff_sig,AI_BradyRig_Norm_r,AI_BradyRig_Norm_r2,AI_BradyRig_Norm_p,AI_BradyRig_Norm_sig,AI_Tremor_Norm_r,AI_Tremor_Norm_r2,AI_Tremor_Norm_p,AI_Tremor_Norm_sig,Sex_eta2,Sex_p,Sex_sig,HANDED_eta2,HANDED_p,HANDED_sig,HOEHN_YAHR_eta2,HOEHN_YAHR_p,HOEHN_YAHR_sig
latent_79,-0.0003,0.0,0.985628,False,-0.0772,0.006,0.000112,True,0.0148,0.0002,0.425526,False,-0.0549,0.003,0.006063,False,-0.0789,0.0062,7.8e-05,True,-0.041,0.0017,0.04043,False,-0.0667,0.0044,0.000851,False,-0.0348,0.0012,0.082095,False,-0.0694,0.0048,0.000519,False,-0.0462,0.0021,0.020904,False,0.0003,0.3082,False,0.0004,0.515319,False,0.0071,0.000251,True
latent_82,-0.0159,0.0003,0.377961,False,-0.0344,0.0012,0.085998,False,-0.0257,0.0007,0.167908,False,-0.07,0.0049,0.00046,True,-0.0257,0.0007,0.199655,False,-0.0242,0.0006,0.226914,False,-0.0708,0.005,0.000398,True,-0.0594,0.0035,0.002971,False,-0.0508,0.0026,0.011099,False,-0.058,0.0034,0.003732,False,0.0013,0.048073,False,0.0011,0.180632,False,0.0043,0.010246,False
latent_83,0.3783,0.1431,0.0,True,-0.0585,0.0034,0.003458,False,-0.1635,0.0267,0.0,True,0.0851,0.0072,2e-05,True,-0.0877,0.0077,1.1e-05,True,-0.0089,0.0001,0.656485,False,0.0977,0.0095,1e-06,True,0.0955,0.0091,2e-06,True,0.0726,0.0053,0.000282,True,0.0892,0.008,8e-06,True,0.1012,0.0,True,0.0041,0.001705,False,0.0146,0.0,True
latent_85,0.0326,0.0011,0.070118,False,0.2006,0.0403,0.0,True,-0.038,0.0014,0.041187,False,-0.0994,0.0099,1e-06,True,0.2019,0.0408,0.0,True,0.0874,0.0076,1.2e-05,True,-0.1281,0.0164,0.0,True,-0.0975,0.0095,1e-06,True,-0.1087,0.0118,0.0,True,-0.0777,0.006,0.000102,True,0.0011,0.063074,False,0.0005,0.486545,False,0.0379,0.0,True
latent_86,0.0161,0.0003,0.371818,False,-0.0523,0.0027,0.00895,False,-0.0401,0.0016,0.031368,False,0.0761,0.0058,0.000141,True,-0.0531,0.0028,0.00794,False,-0.0289,0.0008,0.149013,False,0.1013,0.0103,0.0,True,0.1105,0.0122,0.0,True,0.0792,0.0063,7.3e-05,True,0.1049,0.011,0.0,True,0.0001,0.669286,False,0.002,0.044967,False,0.0097,2e-06,True
latent_90,-0.0292,0.0009,0.104614,False,-0.006,0.0,0.76455,False,0.0716,0.0051,0.000119,True,0.0622,0.0039,0.00188,False,-0.0257,0.0007,0.199383,False,0.0608,0.0037,0.002356,False,0.024,0.0006,0.230564,False,-0.0114,0.0001,0.570124,False,0.0189,0.0004,0.344138,False,-0.0082,0.0001,0.682911,False,0.0132,0.0,True,0.0008,0.296829,False,0.0047,0.003974,False
latent_91,-0.0547,0.003,0.002386,False,-0.0992,0.0098,1e-06,True,0.0692,0.0048,0.0002,True,0.0219,0.0005,0.273125,False,-0.0602,0.0036,0.00259,False,-0.093,0.0087,3e-06,True,0.0639,0.0041,0.001382,False,0.0302,0.0009,0.131059,False,0.0445,0.002,0.026146,False,0.0279,0.0008,0.162675,False,0.001,0.082493,False,0.0001,0.911544,False,0.014,0.0,True
latent_95,-0.154,0.0237,0.0,True,-0.0086,0.0001,0.665835,False,0.0241,0.0006,0.195243,False,0.0478,0.0023,0.016972,False,-0.0107,0.0001,0.59437,False,0.0239,0.0006,0.232323,False,0.0372,0.0014,0.062925,False,0.0338,0.0011,0.091274,False,0.0467,0.0022,0.01963,False,0.0395,0.0016,0.048091,False,0.0045,0.00019,True,0.0023,0.030817,False,0.0019,0.192832,False
latent_98,0.0577,0.0033,0.001351,False,0.0416,0.0017,0.037729,False,0.0224,0.0005,0.228272,False,-0.0175,0.0003,0.381745,False,0.0383,0.0015,0.055866,False,-0.0035,0.0,0.861649,False,-0.0238,0.0006,0.234711,False,0.0054,0.0,0.786902,False,-0.0418,0.0018,0.036452,False,-0.0132,0.0002,0.509274,False,0.0,0.741339,False,0.0009,0.266316,False,0.0077,5.8e-05,True
latent_99,0.0937,0.0088,0.0,True,-0.0717,0.0051,0.000335,True,-0.0176,0.0003,0.344444,False,-0.0535,0.0029,0.007443,False,-0.0647,0.0042,0.001211,False,-0.0243,0.0006,0.224587,False,-0.0685,0.0047,0.000608,False,-0.078,0.0061,9.5e-05,True,-0.0483,0.0023,0.015834,False,-0.0732,0.0054,0.00025,True,0.0016,0.028231,False,0.0007,0.330087,False,0.0023,0.143876,False
